怒号	3400000
针砭	5760000
饮牲口	41900
软腭	2810000
针织品	7040000
无头告示	47200
公私合营	3700000
另案	4150000
技术科学	24400000
碰一鼻子灰	537000
迄未见效	727
菠薐菜	11100
单产	80600000
覆车之鉴	94400
破句	194000
了局	100000000
混水摸鱼	2560000
肥分	524000
宽畅	1690000
草野	2810000
缎子	4180000
围产期	7840000
电子显微镜	11800000
走味	1240000
赋有	3840000
权充	629000
避雷器	10100000
氟利昂	4980000
蓇葖果	316000
稿约	1390000
颓放	142000
更番	409000
管井	2770000
夸大其辞	1660000
累累若丧家之犬	36400
彰明较著	202000
包蕴	932000
鐾刀布	235
款步向前	1210
辩才	3550000
京戏	2600000
跌足长叹	9870
棋迷	1370000
檀板	916000
丧亡	914000
严办	8490000
斜张桥	116000
市况	4260000
默祷	1080000
斵轮老手	90
粪箕子	27700
茁长	398000
轻水	1530000
错会	7210000
匪首	2490000
宽纵	490000
珍闻	3530000
烟霏云敛	159000
盘剥	6020000
饮誉全球	114000
阿罗汉	3960000
坐胎	389000
征购	1800000
霏霏细雨	2570000
犯节气	235
朴刀	3910000
风圈	1060000
净利	100000000
算盘子	411000
不织布	9510000
检场	557000
打寒颤	562000
标准大气压	3750000
老视眼	80800
长骨	3800000
杂凑	821000
纤尘	6330000
灵怪	823000
祁红	1350000
参建	8090000
牂牂	535000
拨子	1750000
泉香酒洌	183000
驳价	112000
吵扰	168000
讹舛	168000
本业	3950000
空包弹	480000
怨毒	7000000
警械	1710000
嘬瘪子	1530
卤莽	2410000
多晶体	1340000
遽然	2250000
编列	2420000
穰穰满家	132000
同案犯	1660000
扩股	10200000
藏巧露拙	13000
马鲛	1510000
大叶杨	290000
二簧	573000
外溢	10900000
开阔地	3730000
轮次入内	46
折冲樽俎	247000
瞠目	30300000
请托	18500000
虎贲	3420000
黍稷薿薿	147000
插穗	12600000
原棉	1110000
坦克兵	1720000
凭空臆造	561000
怪石磊磊	1330
众议院	10100000
江水涌流	880
盛馔	437000
啧有烦言	234000
莎草	2420000
巡幸	1670000
大树特树	134000
关碍	264000
五四青年节	4050000
酦酵酒	38
日妆	3230000
随常	247000
不佞	677000
题跋	3260000
瓦楞纸	10400000
觑觑眼	45700
泫然	3450000
群婚	815000
三头对案	72900
一隅三反	106000
架得住	573000
风姿秀逸	120000
崚嶒	696000
类地行星	990000
翩跹	4690000
排他性	87300000
哀切	792000
吐属大方	286
接触镜	1400000
劈脸	746000
神志委靡	1890
运输舰	1520000
朝贡	3750000
虫害	35600000
满服	402000
闯世界	2060000
京油子	255000
攘夺	386000
大梦初觉	72800
涡旋	6890000
供销合作社	4920000
轨道衡	922000
调干	696000
纺绸	549000
酉时	3430000
厉色	4030000
矿砂	4340000
笼火	133000
眼黑	1310000
客店	3290000
武把子	18600
本题	59400000
轧马路	268000
土粉子	1360
应季水果	481000
累进税率	2900000
打野外	202000
瞎咧咧什么	29200
卫生球	1130000
泉下	2130000
卡得很紧	168000
生活枯寂	276
累卵	1850000
双眉颦蹙	72500
铜筋铁骨	340000
仇外	535000
铺户	557000
空幻	1840000
急行军	3100000
抠搜	85400
竹枝词	3030000
因变量	7930000
虐政	424000
揽活	870000
收报	100000000
人才蔚起	34000
稞麦	468000
赛事频密	1300
长考	5920000
饱览	100000000
系统论	8440000
抗命	2300000
平均海平面	413000
妙招迭出	140000
两条路的交会点	50
堪当重任	253000
丰采	2630000
弄璋	724000
飕飗	872000
蜒蚰	112000
十年睽隔	38
数字控制	7840000
盲谷	120000
换帖	492000
双月刊	4350000
战勤	576000
涓滴	2170000
夹板气	493000
告缺	645000
多层住宅	6090000
走色	186000
叶鞘	1910000
粗实	2530000
立体电影	3050000
出使	16600000
旱情	15300000
两姨亲	15200
诱供	998000
品绿	521000
踏看	418000
评骘书画	98
黑幽幽	816000
付丙丁	15200
冉冉上升	828000
第三状态	484000
常规战争	603000
议定书	6720000
清冽	7660000
提讯	725000
病人腹泻频数	19
收生婆	81600
层报	533000
创刊号	5020000
刨花板	6680000
宋体字	1770000
横切面	3190000
山桐子	155000
堪达罕	9670
前庭蜗神经	89400
强如	6210000
乳熟	474000
近旁	4040000
影子内阁	232000
佞臣当道	231000
裹扎	156000
寡合	798000
屯聚	537000
朝服	4820000
空论	1190000
吃不来	3960000
翻建	37700000
波浪鼓	812000
通条	860000
安妥	1240000
别瞎蒙	9380
火绒	891000
诧然	568000
昏着	393000
言教	4210000
散失	14900000
怵头	202000
岫玉	6160000
劬劳	1220000
衰惫	335000
抹得开	137000
毛瑟枪	560000
揖让	1430000
怯弱	4480000
跑外	766000
炫弄技巧	819
草垫子	449000
爆发音	110000
洮水河	291
虐囚	8780000
渗沟	449000
攻击机	4470000
炯然	7070000
千粒重	2400000
第三国际	839000
欠产	182000
中立国	1730000
庸中佼佼	320000
挂幌子	48400
月终	2060000
旅进旅退	167000
宗派	12200000
颛顼	4550000
形状记忆合金	1140000
敌台	962000
冗赘	292000
何其相似乃尔	291000
王族	7990000
奸贼	1740000
胜券	9880000
烛泪	953000
做圈套	2800
惭色	891000
流泻	5150000
怫然作色	125000
故纸堆	2090000
静穆	3370000
类书	5760000
群山绵连	223
残匪	493000
神神道道	460000
花棍舞	404000
授粉	6190000
永湰河	3
猫睛石	50100
七项全能	332000
申斥	1340000
语源学	266000
防空壕	151000
迷醉于过去	54
破冰船	2500000
诀要	549000
雪连纸	613
由各家平摊	62
暗场	923000
遗之千金	2380
朝珠	1770000
咽回去	1030000
搏战	1200000
陂塘污庳	3360
词章	2140000
逗遛	199000
铅字	2900000
沮其成行	150
浪木	1130000
先天性免疫	595000
烧煳了	1450
主从	11900000
扛活	316000
顺导	221000
五卅运动	972000
半流体	726000
牧畜	915000
租借地	884000
恒星日	428000
滔天大祸	1510000
响度	4270000
侧枝	4140000
卡住退路	3120
双双落马	2110000
银红	2110000
欢洽	351000
决不宽贷	77100
捡拾	8210000
罗致贤士	53
确乎	2830000
放射疗法	820000
崖壁画	143000
藏戏	1190000
萨克管	170000
红壤	3470000
卖狗皮膏药	336000
庵堂	1830000
药农	1070000
糖饧了	3
宽心丸	83700
日渐平复	838000
蟾光	514000
矿渣	10300000
揭破	2460000
多元论	799000
下场门	501000
艾叶豹	35800
承做	1750000
胡荽	993000
腐蚀剂	2290000
叫化子	1160000
落聘	491000
步话机	979000
虼蚤	151000
高射炮	4440000
铸错	178000
浪桥	180000
希腊字母	2240000
赍志而殁	97400
澹然	843000
道高不矮	16
添补	1790000
供述	13000000
莱塞	1230000
普选	4500000
感愧	330000
呈递	4680000
刨床	6690000
红山文化	2040000
两军对垒	1920000
鬼风疙瘩	59900
菜子油	940000
投井下石	125000
官僚资本主义	2660000
炕梢	125000
具体劳动	1440000
囊中物	792000
民生主义	1310000
天候	62700000
乾宅	246000
葵扇	1280000
数不上	6940000
单性花	393000
数得上	3550000
打嘟噜	66800
协约国	1790000
工农联盟	3060000
重金礼聘	497000
无声片	311000
铁纱	347000
流民	5850000
复杂劳动	726000
称便	1060000
和洽	739000
遒劲	6550000
景色魅人	50
溶蚀	3310000
干松	591000
外戚	5670000
丛集	1210000
权作	8080000
迸溅	2070000
颊囊	220000
失修	10700000
羞人答答	289000
一偏	5790000
激昂慷慨	696000
鲦鱼	294000
瞎诌	206000
草甸子	492000
栖居	5650000
躬行节俭	228000
手锣	203000
白铜	5230000
柯尔克孜族	1390000
欢呼踊跃	51600
风雨欻至	101
健身美体	1560000
硬武器	42600
阒然	300000
香馥馥	376000
归侨	4280000
冥寿	641000
宛转	6980000
草本植物	17000000
维棉布	17900
第一把手	1350000
妙境	2870000
触目	100000000
广绣	1050000
沙俄	7470000
翻录	3160000
笔底下	117000
旱魃	3650000
绢本	2050000
偌大的京城	275000
太仓一粟	80000
蔚然成林	345000
衣衾棺椁	183000
摈斥	313000
书背	1090000
小同乡	186000
丑剧	1090000
密匝匝	543000
胳膊肘子	1030000
现代五项	1070000
不周延	360000
探口气	822000
看守政府	740000
太阳窝	48400
沺泾镇	289
旧学	1400000
图穷匕首见	418000
交卸	583000
彤云	1900000
飞灵	881000
公平秤	475000
冬烘先生	163000
一暴十寒	698000
形态学	12600000
素朴	2890000
暂作阙疑	303
莳萝	1030000
幔子	484000
观瞻	5040000
硬木	7940000
硬广告	1090000
蕺菜	349000
喝令	4150000
登陆场	337000
漫灌	1610000
木菠萝	688000
老面皮	62100
开口子	1040000
迎风飘扬	3780000
有效射程	2360000
钦差大臣	3440000
翘首企望	3920
毁谤	5240000
辅助货币	54500
两相情愿	496000
五分制	333000
谢词	2480000
量块	1690000
沙肝	116000
惑人耳目	50100
波幅	76000000
娘姨	389000
飒然	979000
骆驼绒	157000
集大成	13600000
轻重倒置	440000
渔猎	5290000
滟滪堆	157000
吃透	12800000
山高水低	318000
归回	1940000
坑农	1160000
斜纹布	2270000
查缉	2120000
捋虎须	4250000
琉璃球	286000
爆发变星	19300
冁然而笑	180000
鹔鷞	11500
软食	1730000
漾奶	317000
唼喋	148000
扮戏	518000
侨民	4910000
张挂	3530000
嚏喷	153000
涕泪俱下	210000
棉猴	422000
线轴	2360000
贻误戎机	8030
立轴	10200000
刮舌子	9290
垄作	452000
中耳	64800000
卫戍区	1740000
团氿	173000
陶俑	2730000
矫捷	2820000
栗钙土	370000
卷帘门	14200000
自然法	3270000
称身	999000
最牢靠	336000
热塑性	14900000
抵牾	1240000
悼亡	2600000
综括	294000
战表	513000
安培计	301000
异化作用	654000
监票人	1830000
嘎调	140000
碧油油	177000
腔肠动物	1180000
欧佩克	2030000
生荒地	100000
不可逆反应	479000
士卒仅万	97
牛头刨	211000
垄沟	1000000
败绩	6130000
睥睨一切	462000
经学	10700000
普降瑞雪	208000
攀诬	3780000
多宝架	278000
凝固点	3360000
参商	5080000
心情难以平服	184
声口	2180000
呛着了	2090000
度德量力	532000
条件刺激	677000
虚套子	22000
鹤嘴镐	28600
剩磁	1950000
麻线	2580000
冬储	1670000
记名制	58300
澉浦	482000
亘古以来	906000
已然如此	396000
礁石嶙嶙	165
水藻	2550000
袷袢	137000
山西梆子	223000
金鱼藻	710000
曙色	1300000
偏生	3820000
滑不唧溜	1240
吐泻	2600000
